anchor,positive
I've never been to Boston.,I've never visited Boston.
That's her favorite language.,That's his favorite language.
Which hat is Tom's?,Which cap is Tom's?
I'm glad you're OK again.,I'm glad you're all right again.
I asked for a refund.,I demanded a refund.
Is Tom going with you?,Are you and Tom leaving together?
The reason will never be known.,We'll never know the reason.
She is a better singer than any other student in her class.,She can sing better than anybody else in her class.
Scratch a Russian and find a Tartar.,Look under the skin of a civilized man and you will find a barbarian.
Tom is no liar.,Tom is not a liar.
I didn't sleep last night.,"Last night, I didn't sleep."
Tom finished last.,Tom finished in last place.
"If I were to ask him, he would tell me the truth.","He would tell me the truth, if I would ask him."
I'm afraid she may have the mumps.,I think that he has mumps.
It's been decided that the entertainment for our year-end party will be a question-with-comical-improvised-answer session.,We decided to have a last piece on the programme at the year-end party.
Tom asked Mary several questions.,Tom asked Mary some questions.
Tom doesn't seem all that busy.,Tom doesn't look all that busy.
The student came back from London.,The student came from London.
Tom said he's sure Mary will do that.,Tom said that Mary wasn't sure that she would do that.
That may be difficult.,That might be difficult.
Tom has gone out to eat.,Tom ate out.
"Every time I read this book, I find something new.","When I read this book, I always find something new in it."
They thought that they'd help out.,They thought they'd help out.
I promise to never be late again.,I promise never to be late again.
Let's call at his house.,Let's drop by his house.
"Hurry then, don't get in the way of my studies.","Make haste, lest you hinder my study."
Water turns into steam when it is boiled.,"When water boils, it turns into steam."
Tom said he likes doing that.,Tom said he likes to do that.
"Today, we have to sleep outdoors.",We must sleep outside today.
I shoved him.,I shoved her.
He contradicts himself constantly.,He constantly contradicts himself.
Let Tom buy whatever he wants.,Let Tom buy anything he wants.
Tom sent me there.,Tom forced me to go there.
Tom likes to go to the beach.,Tom loves going to the beach.
Why does everyone hate us?,Why does everybody hate us?
It's not a vice.,It isn't a vice.
I'm not even sure whether Tom will come or not.,I'm not even sure if Tom will come.
I should've bought Tom a present.,I should've bought a present for Tom.
How did Tom get it?,How did Tom take it?
I'm 27.,I'm twenty-seven years old.
Tom isn't going to confess.,Tom won't confess.
I would read the novel if it were interesting.,I would've read the novel if it'd been interesting.
The ballboys and ballgirls all come from local schools.,The ballboys and ballgirls all came from surrounding schools.
Happy St. Patrick's Day!,Happy Paddy's Day!
Mary is a hot girl.,Mary is a fox.
You don't seem too surprised.,You don't sound very surprised.
That's a terrible brand.,That's an awful brand.
"During the morning I feel very lazy, I don't want to do anything.",In the mornings I'm very lazy and don't want to do anything.
I think we'd better talk to Tom.,We should probably ask Tom.
Tom wouldn't let anyone do that.,Tom wouldn't let anybody do that.
This is grossly unfair.,This is patently unfair.
Do you want to know what's going on?,Do you want to know what happens?
They were frightened.,They were scared.
You deserve more than that.,You deserve more.
"When you're beginning to look like the photo in your passport, you should go on a holiday.","When you start to look like the photo in your passport, it's time to go on vacation."
We don't have a vacancy at the moment.,We don't have any available rooms at the moment.
"As it is late, turn off the TV.","It's late, so turn off the TV."
I felt like crying at the news.,"When I heard the news, I wanted to cry."
Tom has a brother named John.,Tom has one brother named John.
Have you travelled anywhere recently?,Have you recently taken a trip anywhere?
We're getting divorced.,We're getting a divorce.
I really hope this helps.,I really hope that this helps.
You talk too much.,He has a big mouth.
You don't know all the facts.,You don't have all the facts.
I walk fast.,I walk quickly.
Tom can no longer live here.,Tom can't live here anymore.
I saw Tom kiss Mary.,I saw Tom kissing Mary.
"Mum, the rice crackers have gotten damp and they're not nice anymore.","Mum, the rice crackers have gone soft and they don't taste good anymore."
I often refer to the dictionary.,I often look up words in that dictionary.
Her folks cannot help worrying about her wound.,Her family can't help worrying about her injuries.
I don't doubt that she will come here.,She is bound to come here.
Tom loved his job.,Tom liked his job.
I know that Tom won't lie to me.,I know Tom would never lie to me.
"The girl, closing her eyes, listened to the pastor.",The girl closed her eyes and listened to the pastor.
I'm not sure you're ready.,I'm not sure that you're ready.
They promised that they'd do that.,They promised they'd do that.
I don't want to tell him.,I don't want to say that to him.
A kilo of ketchup is equivalent to two kilos of tomatoes.,One kilogram of tomato sauce is equivalent to two kilograms of tomatoes.
The world is a grand ball in which everyone wears a mask.,"The world is a grand masked ball, where everyone wears a disguise."
I wanted to show it to you.,You ought to have seen it.
Tom said he was wounded.,Tom said that he was hurt.
I'm going crazy from too much noise.,The loud noise is driving me crazy.
Why on earth did you do that?,Why in the world did you do that?
Don't expect miracles.,Don't expect any miracles.
He is Ethiopian.,She is Ethiopian.
It's illegal!,That's illegal.
Tom forgot to buy a present for Mary.,Tom forgot to buy Mary a present.
Everybody is sore.,Everyone is upset.
"If possible, I would like to go home now.",I'd like to go home now.
They said that they're fine.,They said they're fine.
People believed her to be dead.,People thought that she was dead.
I'm not censoring their articles.,I don't censor their articles.
The author translated the fairy tale into our mother tongue.,That author translated those fairy tales into our language.
I have a Chinese friend.,I want to study Chinese and go to China.
How much sugar should I buy?,How much candy should I buy?
They say that they're not done yet.,They say that they aren't done yet.
Tom was a miner.,Tom was a coal miner.
Tom's different.,Tom is different.
We know you're sick.,We know that you're sick.
Sami cursed.,Sami was cursing.
He is so honest that I can count on him.,He's really honest. It's all right if I trust him.
How many of Shakespeare's tragedies have you read?,How many Shakespearean tragedies did you read?
The bus stops at Hótel Ísland.,The bus stops at Hotel Iceland.
Lightning struck the tower.,Lightning hit that tower.
Yumi speaks English very well.,Yumi speaks very good English.
Her method is far in advance of ours.,His method is much more effective than ours.
I hope this seat is not occupied.,I hope this seat isn't occupied.
Tom has accepted that.,Tom agreed to that.
We should've planned more carefully.,We should have planned more carefully.
Tom came at two-thirty.,Tom came at 2:30.
I want you to sign this.,I want him to sign this.
We're not so sure.,We're not so confident.
I should've done things differently.,I should have done things differently.
Everyone liked me.,Everybody liked me.
I have an itch in my ear.,My ear is itching.
They told everyone that they were safe.,They told everybody they were safe.
