anchor,positive,negative
i exercise 4 times a week .,i love to workout .,"i hate to workout , but i need to ."
yes i only eat fruit that i grow in my greenhouse .,i am a fruitarian .,eating snacks in the park is one of my favorite things .
i went to college in maryland .,my desire is to become a fashion designer .,i went to miami university .
wow . swimming is my specialty . ever since college .,i could have swam in the olympics .,i am afraid of drowning .
"hi , nice to meet you . i like reading .",i love reading .,i do not like reading scientific information .
i am getting a degree i am almost done .,i am almost finished with my degree .,i do not do well in school .
do you bake savory things i love things with onion .,my favorite food is raw onion .,pizza is my most favorite thing .
"yeah , as a middle school teacher .",i am an middle school teacher for 8th grade .,i am a veterinarian .
me too . now if i could escape from this house ! time to clean some more .,i love to clean my house .,i have ink stains on all my shirts .
i guess that works . i am more in to country .,i listen to country music .,country music makes me cringe .
i juggle all the balls .,i am an animal lover .,i do not like animals .
i am from kansas born and raised .,i was born in kansas .,i was born outside the us .
i love steak and meat . why are you vegan ?,i like meat .,when i was a child i began avoiding meat .
i am in marketing with a big firm maybe we can help you with that .,i work in marketing for a large company .,i work at the deli counter .
"meow , meow . my cat says hello . i say good evening .",my cats like to be read to .,i am not a cat person .
i have a basic job .,i earn hourly pay .,i volunteer at my local animal shelter .
orange is actually my favorite flavor and color . do you have a favorite color ?,my favorite color is orange .,my favourite colour is green .
i am a waitress at a popular houston club .,i work at a restaurant as waiter .,i m a pilot for southwest .
"i write the music , play all instruments and as a poet , i write lyrics too .",i am a poet .,i am a physical trainer .
yeah it makes my blonde hair look great .,my lox are golden .,i have black hair .
i just love him more than anything . he eats all the food i am too picky to try .,i m picky when it comes to food .,i hate dogs .
i enjoy sleeping in on my days off .,i sleep most of the day .,i only sleep 3 hours a day .
do not be sad . i can give you tips about good health . i am a nurse .,i am an lpn at sacred heart .,i work as a legal assistant in a law firm that basically only handles real estate work .
i want to be a ballerina .,i want to be a professional ballerina .,i d like to be a teacher in the future .
lucky you ! i love coffee . i usually drink like 6 cups a day .,i enjoy putting alcohol in my coffee .,i cannot stand the smell or taste of java .
i write a lot of poetry when i cant play golf . those are my main hobbies .,my friends and i enjoy golfing on sunny days .,i work as a lifeguard .
i love it so much . my parents want me to do something more with my life .,"i hate my parents , but i love my job .",i am a retired school teacher .
great ! six times i was in the news !,i have been on the tv news six times .,great ! 15 times i was in the news !
not lately . time for me to go fantasize about christmas !,i love christmas .,christmas is not the most wonderful time of the year .
"maybe , once a month people from the discovery channel collect my videos .",i work for the discovery channel creating videos .,i work at walmart as a stocker .
haha no judgement here ! i love kings of leon .,my favourite band is kings of leon .,my favorite band is nightfish .
i am a graduate student studying law .,i am studying for my master s .,i went to the university of north carolina .
"oh that sounds exciting ! i love to travel , it is one of my hobbies .",i like to travel .,i do not travel .
do you have a favorite season ? i like winter .,i prefer winter over fall .,i cannot stand winters .
i am a veterinarian .,i take care of animals for my job .,i am a pilot for southwest .
i just spend time taking care of my family .,i love my family .,i do not have a job .
i am a programmer but i am not sure if i made teh right choice .,"i do not know if i enjoy programming , or if its my only choice .",i am a pilot .
my favorite band is nirvana .,nirvana was one of my favorite bands .,my favorite band is vv nation .
"oh , i am a teacher and my husband is a police officer .",teaching is my passion .,i got a job as an accountant 3 months ago .
hey . i love eating fish .,i like to only eat fish .,i am sick when i eat fish .
virginia and i am not nope .,we lived in virginia while i was growing up .,i m from texas .
"no i do not , do you eat meat . i am a carnivore . .",i am a meat eater .,i do not like to eat meat .
i start college in a year i applied to trinity in dublin .,i am taking a year off before i start college .,i went to alabama state .
"well my mom and dad are both scientists , but gave since retired .",my work in the lab was always most important to me .,i have a career in party planning .
