anchor,positive
"i love sports , my favorite team is the raptors . what about yours ?",my favorite team is the raptors .
"i imagine they would . i live in the city too , not the best for pets .",i live in a big city .
i have a lot of homework to do . i am studying writing in school .,i am going to school for writing .
yum . i wish i could afford lots of fresh veggies . i hate being unemployed .,i am currently unemployed .
hi . i am mo . i love sports . go grizzlies !,i like to watch sports .
dogs are awesome . i like them almost as much as i like cheeseburgers .,my favorite food is cheeseburgers .
i love cooking and baking anything blue ! its my favorite color !,my favorite color is blue .
california love is my favorite song of all time ! what music do you like ?,i love listening to great music .
nice i try to make every day interesting so discovering new music has helped .,i wait for something interesting to happen each day .
starbucks ! i love the atmosphere and they treat employees great .,i currently work at starbucks .
i love coffee too ! i have to have a cup each morning before work .,i drink coffee every day .
wow that is cool do you like coffee .,i like to spend time drinking mediocre coffee .
i played football throughout high school . being outdoors is second nature to me .,i played football in high school .
"with only having six months left to live , every day i wake up is good .",my doctor told me i have six months to live .
i like to garden its pretty different from my job in a band .,"when i am not touring with the band , i like to garden ."
i love disney movies all time favorite an insatiable reader .,my favorite movies are disney movies .
i use to be a huge superman fan as a child .,superman s my favorite super hero .
we are the ohio trio . my brothers and i .,i live on a small farm in ohio .
"i like to eat food that is high in carbs , my doctor tells me not to .",i eat a lot of carbs even though my doctor tells me not to .
just got in from work . i design video games designed over 65 now .,i design video games for a living .
do you like disney movies ? i love them .,i love disney movies .
i am a roofer .,i work in construction and repair peoples roofs .
wow ! i am outdoorsy . i love swimming and paddle boarding in the river .,i enjoy swimming .
"yes , i live in alaska . sometimes , i wish i lived around apple orchards , though .",my favorite fruit is an apple .
that would make it easier to pick up more hours working in the library .,i work part time in the campus library .
hello . i work for a small restaurant that my family owns .,"i work for a small , family owned restaurant ."
hi there i am good . i am listening to some country music . you ?,i like to listen to country music .
haha no . i want to be a professional eater .,i would love to be a professional eater and not get fat .
i am doing good getting ready to go fishing this weekend .,i love fishing .
so do you have any hobbies like mine is skateboarding . i am not a tomboy though .,i like skateboarding .
"speaking of which , winter is totally my favorite season ! i love the cold weather haha .",i prefer to live where the weather s cold .
that is a lot . i like to be organized and that must be hard with eight .,i like things in organized .
"that is nice , i just broke my leg today .",i recently broke my leg .
that is cool . i want to by a yellow bike to go cycling .,my favorite color is yellow .
i call my cat cow because it is black and white .,i have a black and white cat named cow .
"i like one direction the most , but daft punk is cool too .",my favorite band is one direction .
i think ed sheeran is awesome .,my favorite musician is ed sheeran .
sure . i hope you become moneyman my favorite superhero . my mom likes money too .,i love money .
any metallica cover bands in vegas .,my favorite band is metallica .
that is cool . my family and i like to play video games also .,i enjoy spending time with family and friends .
oh ok . i got married yesterday .,i am married to my wonderful husband .
cute name ! i take my dogs fishing with me .,i enjoy killing sea creatures .
"hi , i am very single . i was hoping to meet someone tonight .",i am single .
dust and clutter makes me do the same .,i can t stand clutter or dust .
no . i spend more time climbing . it is a good workout .,i love to climb .
"well , have you heard of the walking dead ? i love that , and eating chocolate !",i love the walking dead .
